centro_nv2;nps_tradicional;nps_ajustado;delta;faixa_trad;faixa_ajust;mudou_faixa;flag;alerta
L5078-CAMPO BELO 2 (1342);80.84795321637426;80.84795321637426;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5081-VILA OLIMPIA (1345);81.27090301003345;81.27090301003345;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5082-VILA ANDRADE (1346);79.20592193808884;79.20592193808884;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5083-BARCELONA (1347);87.43131868131869;87.43131868131869;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5084-GUAIPA (1349);85.85858585858585;85.85858585858585;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5086-PORTAL DO MORUMBI (1352);86.86440677966102;86.86440677966102;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5087-ALBERTO ANDALO (1353);90.03215434083602;90.03215434083602;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5088-PONTA DA PRAIA (1363);87.80225685115529;87.80225685115529;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5089-BOA VISTA (1364);87.02388637830859;87.02388637830859;0.0;Excelente (≥75);Excelente (≥75);False;REGULAR;ESTAVEL
L5090-NORTE SUL (1365);87.146529562982;87.146529562982;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5091-NOVA CANTAREIRA (1366);86.67051356030005;86.67051356030005;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5092-VILA AUGUSTA (1374);83.64312267657994;83.64312267657994;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5093-PERDIZES 2 (1376);81.23441396508728;81.23441396508728;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
L5095-VILLA LOBOS (1380);78.65814696485623;78.65814696485623;0.0;Excelente (≥75);Excelente (≥75);False;TOCADORA;ESTAVEL
