centro_nv2;flag;uf;regiao;comentarios;comentarios_negativos;comentarios_negativos_longos;pct_negativo;severidade_media;severidade_p90;nps_tradicional;nps_textual;nps_hibrido;avaliacoes_ponderadas;linhas_avaliacao;transacoes;delta_textual_vs_tradicional;delta_hibrido_vs_tradicional;indice_prioridade;faixa_nps_tradicional;faixa_nps_textual;faixa_nps_hibrido;quadrante_risco;risco_oculto
L5198-VILA RESENDE;REGULAR;SP;Interior;304;39;10;12.83;26.983453947368417;74.81499999999998;67.76315789473685;62.5;64.14473684210526;1601.0;792.0;78850.0;-5.26;-3.62;48.57;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5207-SANTO ANDRE ORATORIO;REGULAR;SP;RMSP;578;65;20;11.25;26.494913494809687;72.415;71.97231833910035;65.22491349480968;69.03114186851211;3142.0;1184.0;159180.0;-6.75;-2.94;48.49;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5242-RECREIO;REGULAR;RJ;RJ;417;48;19;11.51;27.045563549160672;73.52;69.06474820143885;62.589928057553955;66.42685851318944;1555.0;911.0;50677.0;-6.47;-2.64;48.46;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5240-BARAO GERALDO;REGULAR;SP;Interior;457;54;15;11.82;27.539890590809627;72.73200000000003;69.58424507658644;62.36323851203501;67.83369803063457;2274.0;1021.0;89159.0;-7.22;-1.75;48.44;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5204-ITAQUA;REGULAR;SP;RMSP;381;50;17;13.12;25.203727034120735;75.86;70.86614173228347;67.45406824146981;71.39107611548556;1960.0;919.0;104007.0;-3.41;0.52;48.27;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5248-SBC PEREIRA BARRETO;REGULAR;SP;RMSP;563;58;15;10.3;28.130852575488454;69.94000000000003;65.36412078152753;61.811722912966246;64.12078152753108;2046.0;1095.0;124440.0;-3.55;-1.24;48.14;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5069-AGUA RASA (1322);REGULAR;SP;Capital;744;75;35;10.08;25.780295698924732;68.52100000000027;74.59677419354838;68.41397849462365;72.17741935483872;2584.0;1357.0;130658.0;-6.18;-2.42;47.72;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5201-ANA COSTA;REGULAR;SP;Litoral;705;70;25;9.93;26.689872340425534;65.62000000000005;72.05673758865248;65.53191489361701;69.9290780141844;2818.0;1314.0;168588.0;-6.52;-2.13;47.54;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5161-ITANHAEM;REGULAR;SP;Litoral;726;72;24;9.92;26.379297520661154;65.87;69.6969696969697;66.39118457300276;68.31955922865014;3315.0;1352.0;131783.0;-3.31;-1.38;47.26;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5087-ALBERTO ANDALO (1353);REGULAR;SP;Interior;314;37;13;11.78;26.74735668789809;74.997;67.83439490445859;62.738853503184714;66.87898089171973;1555.0;788.0;76416.0;-5.1;-0.96;47.17;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5231-SOROCABA PANNUNZIO;REGULAR;SP;Interior;505;61;12;12.08;26.27081188118812;74.31800000000001;71.28712871287128;65.34653465346535;67.32673267326733;2524.0;1097.0;109149.0;-5.94;-3.96;47.16;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5261-UNIMART;REGULAR;SP;Interior;574;65;15;11.32;26.520592334494772;74.04400000000001;74.56445993031359;65.50522648083623;70.38327526132404;2788.0;1180.0;125498.0;-9.06;-4.18;46.53;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5141-ALTO TAQUARAL;REGULAR;SP;Interior;388;39;19;10.05;26.31353092783505;67.97100000000006;71.90721649484536;65.20618556701031;67.78350515463917;1925.0;929.0;79926.0;-6.7;-4.12;45.82;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5134-GILBERTO SALOMAO;REGULAR;DF;DF;408;41;13;10.05;28.063823529411767;64.67000000000004;66.91176470588235;60.5392156862745;65.93137254901961;1729.0;925.0;62724.0;-6.37;-0.98;45.65;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5214-SAO MIGUEL;REGULAR;SP;Capital;648;68;17;10.49;25.86496913580247;71.94000000000007;70.37037037037037;66.9753086419753;69.44444444444444;3287.0;1290.0;120338.0;-3.4;-0.93;45.59;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5179-VILA YARA;REGULAR;SP;RMSP;799;81;28;10.14;24.579674593241553;70.05400000000009;74.21777221526908;71.33917396745932;73.59198998748435;2493.0;1386.0;152237.0;-2.88;-0.63;45.51;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5202-VILA CAICARA;REGULAR;SP;Litoral;722;69;24;9.56;25.74409972299169;64.217;73.68421052631578;67.86703601108033;71.8836565096953;3029.0;1338.0;159082.0;-5.82;-1.8;45.37;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5077-OSCAR FREIRE (1341);REGULAR;SP;Capital;365;40;16;10.96;24.81117808219178;71.596;71.23287671232876;68.4931506849315;69.31506849315069;1420.0;831.0;124422.0;-2.74;-1.92;45.24;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5098-AUTONOMISTAS (1405);REGULAR;SP;RMSP;938;83;35;8.85;24.923432835820897;63.269;74.20042643923242;71.10874200426439;72.92110874200426;3232.0;1586.0;153001.0;-3.09;-1.28;45.15;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5129-REAL PARQUE;TOCADORA;SP;Capital;360;38;17;10.56;25.849083333333333;70.85800000000003;72.5;65.83333333333333;68.88888888888889;1330.0;778.0;56391.0;-6.67;-3.61;44.92;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5013-GRANJA VIANA (0545);REGULAR;SP;RMSP;708;71;35;10.03;23.77217514124294;64.10300000000008;77.11864406779661;73.0225988700565;75.56497175141243;1808.0;1206.0;93179.0;-4.1;-1.55;44.62;excelente;zona_qualidade;excelente;atencao_leve;False
L5221-BARUERI (BETHAVILLE);REGULAR;SP;RMSP;368;40;14;10.87;24.912336956521738;69.61200000000002;73.36956521739131;68.47826086956522;70.1086956521739;1520.0;903.0;116761.0;-4.89;-3.26;44.23;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5124-BOTUCATU;TOCADORA;SP;Interior;320;36;12;11.25;25.004624999999997;70.32400000000003;67.1875;67.1875;68.75;1708.0;819.0;85235.0;0.0;1.56;44.17;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5142-MARILIA;REGULAR;SP;Interior;328;40;10;12.2;25.001798780487807;73.18700000000001;71.95121951219512;67.3780487804878;69.51219512195121;1848.0;844.0;63320.0;-4.57;-2.44;44.16;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5068-BOSQUE DA SAUDE (1321);REGULAR;SP;Capital;622;53;18;8.52;26.608360128617367;61.717999999999996;70.57877813504824;65.43408360128618;68.64951768488746;2398.0;1218.0;145938.0;-5.14;-1.93;43.95;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5251-JANGADEIROS;REGULAR;SP;Capital;687;63;20;9.17;25.649184861717615;63.674;74.235807860262;68.41339155749637;70.3056768558952;3055.0;1299.0;106574.0;-5.82;-3.93;43.8;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5026-VILA MARIA (0818);TOCADORA;SP;Capital;349;39;13;11.17;24.85893982808023;71.942;74.78510028653295;68.19484240687679;71.63323782234957;1642.0;877.0;99191.0;-6.59;-3.15;43.63;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5041-TAUBATE (1224);REGULAR;SP;Interior;307;34;11;11.07;25.614951140065145;73.31800000000001;73.9413680781759;67.10097719869707;69.70684039087948;1456.0;774.0;79196.0;-6.84;-4.23;43.6;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5131-TAUBATE SAO GERALDO;REGULAR;SP;Interior;385;41;11;10.65;25.60537662337662;72.24000000000001;70.12987012987013;66.75324675324676;68.57142857142857;1634.0;842.0;90544.0;-3.38;-1.56;43.46;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5086-PORTAL DO MORUMBI (1352);REGULAR;SP;Capital;1294;103;40;7.96;24.17805255023184;60.74900000000001;75.27047913446677;73.72488408037094;75.34775888717155;3540.0;1971.0;182025.0;-1.55;0.08;43.36;excelente;zona_qualidade;excelente;atencao_leve;False
L5268-TIBURCIO;REGULAR;SP;Capital;601;55;21;9.15;25.147936772046588;62.03;74.70881863560732;69.05158069883528;72.71214642262895;3209.0;1257.0;130403.0;-5.66;-2.0;43.13;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5147-ROLAND GARROS;TOCADORA;SP;Capital;602;56;20;9.3;24.94750830564784;61.211;73.08970099667775;69.26910299003323;71.2624584717608;2760.0;1188.0;103251.0;-3.82;-1.83;43.11;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5127-SAO ROQUE;REGULAR;SP;Interior;652;57;16;8.74;26.062530674846627;60.483999999999995;73.00613496932516;66.71779141104295;69.6319018404908;3465.0;1275.0;152690.0;-6.29;-3.37;43.04;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5277-VILA CURUCA (NORDESTINA);REGULAR;SP;Capital;431;43;14;9.98;25.314501160092806;63.94;70.76566125290023;67.28538283062645;70.99767981438515;2224.0;990.0;119695.0;-3.48;0.23;42.97;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5241-ITAPEVI;REGULAR;SP;RMSP;489;49;14;10.02;24.821431492842535;66.50199999999994;74.84662576687117;69.73415132924336;71.77914110429448;2668.0;1097.0;130396.0;-5.11;-3.07;42.51;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5279-BOX CAIEIRAS;TOCADORA;SP;RMSP;259;28;10;10.81;24.88362934362934;69.47600000000001;71.81467181467181;66.79536679536679;69.1119691119691;1189.0;677.0;78280.0;-5.02;-2.7;42.34;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
L5218-PARELHEIROS;REGULAR;SP;Capital;738;68;21;9.21;24.56130081300813;61.731000000000044;77.50677506775068;71.27371273712737;75.47425474254743;3889.0;1412.0;158916.0;-6.23;-2.03;42.17;excelente;zona_qualidade;excelente;atencao_leve;False
L5012-SOROCABA (0527);REGULAR;SP;Interior;252;26;12;10.32;25.41361111111111;65.48200000000001;70.23809523809523;66.26984126984127;69.84126984126983;1194.0;666.0;47602.0;-3.97;-0.4;42.05;zona_qualidade;zona_qualidade;zona_qualidade;atencao_leve;False
