centro_nv2;total_com;pct_positivo;pct_neutro;pct_negativo;nps_tradicional;nps_ajustado;delta;alerta;flag;top3_problemas;top3_elogios;sentimento_medio
L5019-ANGELICA (0684);1123;0.0;0.0;0.0;84.67573221757321;84.67573221757321;0.0;ESTAVEL;REGULAR;;;
L5020-VILA MARIANA 2 (0779);578;0.0;0.0;0.0;78.72111767866738;78.72111767866738;0.0;ESTAVEL;REGULAR;;;
L5021-VILA SAUDE (0782);658;0.0;0.0;0.0;82.80445969125213;82.80445969125213;0.0;ESTAVEL;TOCADORA;;;
L5022-SAO CAETANO CENTRO (0811);579;0.0;0.0;0.0;87.15277777777779;87.15277777777779;0.0;ESTAVEL;REGULAR;;;
L5023-JOSE BONIFACIO (0813);285;0.0;0.0;0.0;86.74275680421422;86.74275680421422;0.0;ESTAVEL;REGULAR;;;
L5024-VALINHOS (0814);515;0.0;0.0;0.0;88.23529411764706;88.23529411764706;0.0;ESTAVEL;REGULAR;;;
L5025-PANAMBY (0817);690;0.0;0.0;0.0;85.13876454789614;85.13876454789614;0.0;ESTAVEL;REGULAR;;;
L5026-VILA MARIA (0818);416;0.0;0.0;0.0;89.64677222898904;89.64677222898904;0.0;ESTAVEL;TOCADORA;;;
L5027-ACLIMACAO (0851);520;0.0;0.0;0.0;82.90691344583561;82.90691344583561;0.0;ESTAVEL;TOCADORA;;;
L5028-VILA PAULICEIA (0853);353;0.0;0.0;0.0;88.56601389766267;88.56601389766267;0.0;ESTAVEL;REGULAR;;;
L5030-SAUDADE (0856);608;0.0;0.0;0.0;88.73188405797102;88.73188405797102;0.0;ESTAVEL;REGULAR;;;
